Chamber,Center,Linear Intensity,Normalized Intensity,Unnormalized Intensity,Background Intensity,Equation = y = 481.5204886366311 + 0.7869117852583606x,R Squared = 0.9306795424152372
50,"(681, 481)",520.8660778995492,510.9332548672421,511.358024691358,628,,
51,"(731, 481)",521.6529896848075,505.267843240423,506.3333333333333,629,,
52,"(782, 482)",522.4399014700658,507.7781381087435,511.4938271604938,633,,
53,"(833, 482)",523.2268132553243,500.04289767186106,501.08641975308643,629,,
54,"(883, 483)",524.0137250405826,506.81684194933996,507.8888888888889,629,,
55,"(934, 483)",524.8006368258409,508.075986540143,507.18518518518516,626,,
56,"(985, 484)",525.5875486110994,523.3541838550733,518.2716049382716,620,,
57,"(1035, 484)",526.3744603963577,507.6521075032934,502.22222222222223,619,,
58,"(1086, 485)",527.161372181616,525.7412042930479,517.1728395061729,615,,
59,"(1137, 485)",527.9482839668744,523.5668439139039,513.0370370370371,612,,
60,"(1188, 486)",528.7351957521328,520.955392044889,511.1975308641975,613,,
61,"(1192, 526)",529.5221075373911,512.1247071102825,501.39506172839504,611,,
62,"(1142, 525)",530.3090193226494,513.3990212239418,508.5061728395062,620,,
63,"(1091, 524)",531.0959311079079,520.0661173798892,514.3703703703703,619,,
64,"(1040, 523)",531.8828428931662,513.3135408674264,510.4074074074074,623,,
65,"(989, 523)",532.6697546784245,518.7719619726386,519.2098765432099,628,,
66,"(939, 522)",533.456666463683,525.2920030496819,527.1481481481482,630,,
67,"(888, 521)",534.2435782489413,527.0380352478685,528.1975308641976,629,,
68,"(837, 520)",535.0304900341996,532.7315399318016,537.5555555555555,634,,
69,"(786, 520)",535.817401819458,538.4777912450432,543.4074074074074,634,,
70,"(736, 519)",536.6043136047164,529.3422036294231,533.3827160493827,633,,
71,"(685, 518)",537.3912253899747,530.4329089032635,538.8641975308642,639,,
72,"(634, 517)",538.1781371752331,536.043818951351,543.1604938271605,637,,
73,"(583, 517)",538.9650489604915,537.1519748846285,542.8024691358024,635,,
74,"(533, 516)",539.7519607457498,534.5073345163801,537.1604938271605,631,,
75,"(482, 515)",540.5388725310081,543.2481448857262,543.7283950617284,628,,
76,"(431, 514)",541.3257843162665,530.0366714228029,530.4938271604939,628,,
77,"(380, 514)",542.1126961015249,535.7873847197826,531.9012345679013,622,,
78,"(330, 513)",542.8996078867832,536.7062808178978,533.5308641975308,623,,
79,"(279, 512)",543.6865196720416,542.4313535022368,536.9753086419753,620,,
80,"(228, 511)",544.4734314573,545.9768571011725,533.8148148148148,611,,
81,"(225, 553)",545.2603432425583,527.9489711828375,515.8765432098766,610,,
82,"(275, 553)",546.0472550278167,535.410712497196,527.9506172839506,617,,
83,"(326, 554)",546.8341668130751,529.1353719821819,524.641975308642,621,,
84,"(377, 554)",547.6210785983334,532.0411540414397,526.7901234567901,620,,
85,"(427, 555)",548.4079903835918,529.1986110024839,529.6543209876543,628,,
86,"(478, 555)",549.1949021688501,543.605536915516,544.0864197530864,628,,
87,"(529, 556)",549.9818139541085,550.7257466585303,553.5432098765432,631,,
88,"(579, 556)",550.7687257393668,545.4621668478369,552.0617283950618,636,,
89,"(630, 557)",551.5556375246252,543.6185636317156,549.4074074074074,635,,
90,"(681, 557)",552.3425493098836,546.7856050532466,557.320987654321,641,,
91,"(731, 558)",553.1294610951419,554.0473006786103,563.2592592592592,639,,
92,"(782, 558)",553.9163728804003,547.4228094395204,555.6296296296297,638,,
93,"(833, 559)",554.7032846656587,555.2175602871155,564.4691358024692,639,,
94,"(883, 559)",555.490196450917,555.5078830574498,561.5555555555555,635,,
95,"(934, 560)",556.2771082361753,566.7488651039819,567.2716049382716,628,,
96,"(985, 560)",557.0640200214337,559.3725256939373,560.679012345679,629,,
97,"(1035, 561)",557.8509318066921,557.7990830320658,555.1538461538462,624,,
98,"(1086, 561)",558.6378435919505,558.7672532005508,554.5432098765432,622,,
101,"(1192, 604)",560.9985789477255,546.9617813571364,534.025,610,,
102,"(1141, 603)",561.7854907329839,565.6481809681999,556.5432098765432,616,,
103,"(1091, 602)",562.5724025182423,562.0314931909508,559.3461538461538,624,,
104,"(1040, 601)",563.3593143035006,558.9360305203679,559.4444444444445,628,,
105,"(989, 601)",564.146226088759,577.321753316893,577.8641975308642,628,,
106,"(938, 600)",564.9331378740173,562.9199139772028,565.8641975308642,631,,
107,"(888, 599)",565.7200496592757,566.0324653854735,575.6543209876543,639,,
108,"(837, 598)",566.506961444534,562.1943217863004,575.8518518518518,644,,
109,"(786, 598)",567.2938732297924,561.2730133326141,574.0493827160494,643,,
110,"(735, 597)",568.0807850150508,570.4634807716873,581.9506172839506,641,,
111,"(685, 596)",568.8676968003091,570.9050882253704,585.0,644,,
112,"(634, 595)",569.6546085855675,568.8365044932207,581.1111111111111,642,,
113,"(583, 595)",570.4415203708259,566.5804032462551,574.5432098765432,637,,
114,"(532, 594)",571.2284321560842,570.3039021016052,580.074074074074,639,,
115,"(482, 593)",572.0153439413426,570.2557895853589,574.9506172839506,633,,
116,"(431, 592)",572.802255726601,566.2291125605834,567.5679012345679,629,,
117,"(380, 592)",573.5891675118593,564.3828053436815,568.1604938271605,632,,
118,"(329, 591)",574.3760792971177,569.2954705023978,567.358024691358,625,,
119,"(279, 590)",575.162991082376,571.6167714486727,568.8395061728395,624,,
120,"(228, 590)",575.9499028676344,574.2370973242115,569.7777777777778,622,,
121,"(225, 629)",576.7368146528927,558.6610885735705,555.2222222222222,623,,
122,"(275, 630)",577.5237264381511,554.0024111535288,549.0806451612904,621,,
123,"(326, 630)",578.3106382234095,564.7049500353997,563.604938271605,626,,
124,"(377, 631)",579.0975500086678,568.7205269204343,569.2469135802469,628,,
125,"(427, 631)",579.8844617939262,568.5273162012218,571.5308641975308,631,,
126,"(478, 632)",580.6713735791845,579.0930377799992,582.2098765432099,631,,
127,"(529, 632)",581.4582853644429,577.8004356935006,586.0864197530864,637,,
128,"(579, 633)",582.2451971497013,575.0230434414933,585.8271604938271,640,,
129,"(630, 633)",583.0321089349596,583.7856738383977,595.8271604938271,641,,
130,"(681, 634)",583.819020720218,585.9475219860666,600.8148148148148,644,,
131,"(731, 634)",584.6059325054764,589.3921733995486,599.8395061728395,639,,
132,"(782, 635)",585.3928442907347,582.5556734347184,597.2469135802469,644,,
133,"(833, 635)",586.179756075993,588.7680483330598,601.9382716049382,642,,
134,"(883, 636)",586.9666678612514,590.8815583243352,601.3827160493827,639,,
135,"(934, 636)",587.7535796465098,588.1637984957156,595.8518518518518,636,,
136,"(985, 637)",588.5404914317681,595.3296870403918,597.716049382716,630,,
138,"(1086, 638)",590.1143150022849,588.93698355541,587.7407407407408,626,,
140,"(1188, 639)",591.6881385728016,594.1021278125144,584.074074074074,616,,
141,"(1192, 682)",592.47505035806,586.2444539534014,575.6296296296297,615,,
143,"(1090, 680)",594.0488739285767,588.4894520132956,588.1728395061729,627,,
144,"(1040, 679)",594.8357857138351,586.5370797655611,591.5061728395061,633,,
145,"(989, 679)",595.6226974990934,592.0906328602638,598.0617283950618,634,,
146,"(938, 678)",596.4096092843517,590.5198469585704,601.925925925926,640,,
147,"(887, 677)",597.1965210696101,596.9806356163032,607.7037037037037,639,,
148,"(837, 676)",597.9834328548685,594.0321724354254,607.4444444444445,642,,
149,"(786, 676)",598.7703446401268,598.4495638941178,613.9753086419753,644,,
150,"(735, 675)",599.5572564253852,599.1410988937644,614.7037037037037,644,,
151,"(684, 674)",600.3441682106436,597.9860568800564,614.4444444444445,645,,
152,"(634, 673)",601.1310799959019,597.390140238365,613.8148148148148,645,,
153,"(583, 673)",601.9179917811603,600.8855050402383,612.7037037037037,640,,
154,"(532, 672)",602.7049035664187,600.7794735042053,611.641975308642,639,,
155,"(481, 671)",603.491815351677,606.5415075500541,617.6172839506173,639,,
156,"(431, 670)",604.2787271369353,601.8035765708721,607.0370370370371,633,,
157,"(380, 670)",605.0656389221938,599.355090762139,606.4074074074074,635,,
158,"(329, 669)",605.8525507074521,601.581385292614,600.3333333333334,626,,
159,"(278, 668)",606.6394624927104,604.4429656213997,599.5061728395061,622,,
160,"(228, 668)",607.4263742779688,604.7190447789396,599.7777777777778,622,,
161,"(225, 706)",608.2132860632272,602.422629833173,597.5185185185185,622,,
162,"(275, 706)",609.0001978484855,601.4729043351687,602.0617283950618,628,,
163,"(326, 707)",609.7871096337439,605.9086232450596,606.5061728395061,628,,
164,"(377, 707)",610.5740214190023,612.9113220434099,612.5679012345679,627,,
165,"(427, 708)",611.3609332042606,611.7146349391147,617.1234567901234,633,,
166,"(478, 708)",612.147844989519,610.5097390790027,620.7530864197531,638,,
167,"(529, 709)",612.9347567747773,607.7681528965769,619.8641975308642,640,,
168,"(579, 709)",613.7216685600357,608.6072145565892,624.679012345679,644,,
169,"(630, 710)",614.508580345294,610.6797617949616,626.8641975308642,644,,
170,"(681, 710)",615.2954921305525,608.7510098705058,628.8271604938271,648,,
171,"(731, 711)",616.0824039158108,612.4716820484573,632.8024691358024,648,,
172,"(782, 711)",616.8693157010691,608.4752247218706,632.5802469135803,652,,
173,"(833, 712)",617.6562274863275,612.6114431218309,628.9012345679013,644,,
174,"(883, 712)",618.4431392715859,610.2544135429245,625.4197530864197,643,,
175,"(934, 713)",619.2300510568442,614.9070500194224,626.2962962962963,639,,
176,"(985, 713)",620.0169628421025,611.1472620366553,622.395061728395,639,,
178,"(1086, 714)",621.5907864126193,619.4315288821851,616.1728395061729,624,,
179,"(1137, 715)",622.3776981978776,616.5296004478661,611.395061728395,622,,
180,"(1188, 716)",623.164609983136,621.2660482939301,609.3703703703703,615,,
181,"(1192, 760)",623.9515217683944,618.352755371271,608.4444444444445,617,,
182,"(1141, 759)",624.7384335536527,619.6176913078389,612.5185185185185,620,,
183,"(1090, 758)",625.5253453389112,622.7514491480347,623.3827160493827,628,,
184,"(1039, 757)",626.3122571241695,617.827237097762,623.3456790123457,633,,
185,"(989, 757)",627.0991689094278,621.5495999400696,630.1481481481482,636,,
186,"(938, 756)",627.8860806946861,619.6746228851653,632.2592592592592,640,,
187,"(887, 755)",628.6729924799446,627.1569703767851,635.9135802469136,636,,
188,"(836, 754)",629.4599042652029,619.9177586950321,638.679012345679,646,,
189,"(786, 754)",630.2468160504612,620.0928891518873,640.9506172839506,648,,
190,"(735, 753)",631.0337278357197,624.8584879955099,646.0493827160494,648,,
191,"(684, 752)",631.820639620978,624.6849552006299,642.6913580246913,645,,
192,"(633, 751)",632.6075514062363,626.7617284529441,639.641975308642,640,,
193,"(583, 751)",633.3944631914947,624.1462786438567,638.9876543209876,642,,
194,"(532, 750)",634.1813749767531,625.1265471437496,637.9382716049382,640,,
195,"(481, 749)",634.9682867620114,620.4517281270671,637.1728395061729,644,,
196,"(430, 748)",635.7551985472699,620.4023645400414,632.0,639,,
197,"(380, 748)",636.5421103325282,622.2918816414782,629.9012345679013,635,,
198,"(329, 747)",637.3290221177865,622.6754311657729,622.320987654321,627,,
199,"(278, 746)",638.1159339030448,623.7737255262974,622.4320987654321,626,,
200,"(228, 745)",638.9028456883033,621.0908948202007,617.8148148148148,624,,
